PARAMETERS: 
 
labelset: expert 
split: train 
lambda: 0.33 
k: 3 
fine-tune: True 
ft_max_epochs: 2 
 
 
CLS: 
 
Run 1: 
 
File: ./results/expert_cls_9.json 
 
F1: 0.8898178188170701 
 
              precision    recall  f1-score   support

         LOC       0.85      0.89      0.87      2239
operate              O                    O                    O                    O                    
flights              O                    O                    O                    O                    
between              O                    O                    O                    O                    
New                  B-LOC                B-LOC                B-LOC                B-LOC                
York                 I-LOC                I-LOC                I-LOC                I-LOC                
and                  O                    O                    O                    O                    
Bogota               B-LOC                B-LOC                B-LOC                B-LOC                
,                    O                    O                    O                    B-LOC                
a                    O                    O                    O                    O                    
denial               O                    O                    O                    O                    
that                 O                    O                    O                    O                    
prompted             O                    O                    O                    O                    
the                  O                    O                    O                    O                    
United               B-LOC                B-LOC                B-LOC                B-LOC                
States               I-LOC                I-LOC                I-LOC                I-LOC                
to                   O                    O                    O                    O                    
charge               O                    O                    O                    O                    
that                 O                    O                    O                    O                    
the                  O                    O                    O                    O                    
Colombians           B-MISC               B-MISC               B-MISC               O                    
were                 O                    O                    O                    O                    
breaking             O                    O                    O                    O                    
a                    O                    O                    O                    O                    
bilateral            O                    O                    O                    O                    
aviation             O                    O                    O                    O                    
agreement            O                    O                    O                    O                    
and                  O                    O                    O                    O                    
to                   O                    O                    O                    O                    
propose              O                    O                    O                    O                    
sanctions            O                    O                    O                    O                    
against              O                    O                    O                    O                    
one                  O                    O                    O                    O                    
of                   O                    O                    O                    O                    
two                  O                    O                    O                    O                    
Colombian            B-MISC               B-MISC               B-MISC               O                    
airlines             O                    O                    O                    O                    
,                    O                    O                    O                    O                    
Avianca              B-ORG                B-ORG                B-ORG                O                    
and                  O                    O                    O                    B-ORG                
ACES                 B-ORG                B-ORG                B-ORG                O                    
.                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
SOCCER               O                    O                    O                    O                    
-                    O                    O                    O                    O                    
DALGLISH             B-PER                B-PER                B-PER                B-PER                
SAD                  O                    O                    B-PER                O                    
OVER                 O                    O                    O                    O                    
BLACKBURN            B-ORG                B-ORG                B-ORG                B-ORG                
PARTING              O                    O                    O                    O                    
.                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
Kenny                B-PER                B-PER                B-PER                B-PER                
Dalglish             I-PER                I-PER                I-PER                I-PER                
spoke                O                    O                    O                    O                    
on                   O                    O                    O                    O                    
Thursday             O                    O                    O                    O                    
of                   O                    O                    O                    O                    
his                  O                    O                    O                    O                    
sadness              O                    O                    O                    O                    
at                   O                    O                    O                    O                    
leaving              O                    O                    O                    O                    
Blackburn            B-ORG                B-ORG                B-ORG                B-ORG                
,                    O                    O                    O                    O                    
the                  O                    O                    O                    O                    
club                 O                    O                    O                    O                    
he                   O                    O                    O                    O                    
led                  O                    O                    O                    O                    
to                   O                    O                    O                    O                    
the                  O                    O                    O                    O                    
English              B-MISC               B-MISC               O                    B-MISC               
premier              O                    O                    O                    O                    
league               O                    O                    O                    O                    
title                O                    O                    O                    O                    
in                   O                    O                    O                    O                    
1994-95              O                    O                    O                    O                    
.                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
FRANKFURT            B-LOC                B-LOC                B-ORG                B-LOC                
1996-08-23           O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
"                    O                    O                    O                    O                    
It                   O                    O                    O                    O                    
is                   O                    O                    O                    O                    
hoped                O                    O                    O                    O                    
that                 O                    O                    O                    O                    
livestock            O                    O                    O                    O                    
breeders             O                    O                    O                    O                    
and                  O                    O                    O                    O                    
feedmillers          O                    O                    O                    O                    
will                 O                    O                    O                    O                    
abide                O                    O                    O                    O                    
by                   O                    O                    O                    O                    
the                  O                    O                    O                    O                    
laws                 O                    O                    O                    O                    
and                  O                    O                    O                    O                    
respect              O                    O                    O                    O                    
the                  O                    O                    O                    O                    
cabinet              O                    O                    O                    O                    
decision             O                    O                    O                    O                    
in                   O                    O                    O                    O                    
the                  O                    O                    O                    O                    
interest             O                    O                    O                    O                    
of                   O                    O                    O                    O                    
consumer             O                    O                    O                    O                    
safety               O                    O                    O                    O                    
,                    O                    O                    O                    O                    
"                    O                    O                    O                    O                    
Health               O                    O                    O                    O                    
Minister             O                    O                    O                    O                    
Chua                 B-PER                B-PER                B-PER                B-PER                
Jui                  I-PER                I-PER                I-PER                I-PER                
Meng                 I-PER                O                    O                    B-PER                
was                  O                    O                    O                    O                    
quoted               O                    O                    O                    O                    
as                   O                    O                    O                    O                    
saying               O                    O                    O                    O                    
by                   O                    O                    O                    O                    
the                  O                    O                    O                    O                    
national             O                    O                    O                    O                    
Bernama              B-ORG                B-ORG                B-LOC                B-LOC                
news                 O                    O                    O                    O                    
agency               O                    O                    O                    O                    
.                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
RTRS                 B-ORG                B-ORG                B-ORG                B-ORG                
-                    O                    O                    O                    O                    
Budget               O                    O                    O                    O                    
cuts                 O                    O                    O                    O                    
to                   O                    O                    O                    O                    
boost                O                    O                    O                    O                    
Australia            B-LOC                B-LOC                O                    B-LOC                
savings              O                    O                    O                    O                    
-                    O                    O                    O                    O                    
RBA                  B-ORG                B-ORG                B-ORG                B-ORG                
.                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
CANBERRA             B-LOC                B-LOC                B-ORG                B-LOC                
1996-08-22           O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
The                  O                    O                    O                    O                    
Australian           B-MISC               B-MISC               B-MISC               B-MISC               
government           O                    O                    O                    O                    
's                   O                    O                    O                    O                    
plans                O                    O                    O                    O                    
to                   O                    O                    O                    O                    
slash                O                    O                    O                    O                    
its                  O                    O                    O                    O                    
budget               O                    O                    O                    O                    
deficit              O                    O                    O                    O                    
should               O                    O                    O                    O                    
make                 O                    O                    O                    O                    
a                    O                    O                    O                    O                    
useful               O                    O                    O                    O                    
contribution         O                    O                    O                    O                    
to                   O                    O                    O                    O                    
national             O                    O                    O                    O                    
savings              O                    O                    O                    O                    
,                    O                    O                    O                    O                    
the                  O                    O                    O                    O                    
Reserve              B-ORG                B-ORG                B-ORG                B-ORG                
Bank                 I-ORG                I-ORG                I-ORG                I-ORG                
of                   I-ORG                I-ORG                I-ORG                I-ORG                
Australia            I-ORG                I-ORG                I-ORG                I-ORG                
(                    O                    O                    O                    B-ORG                
RBA                  B-ORG                B-ORG                B-ORG                O                    
)                    O                    O                    O                    B-ORG                
said                 O                    O                    O                    O                    
in                   O                    O                    O                    O                    
its                  O                    O                    O                    O                    
annual               O                    O                    O                    O                    
report               O                    O                    O                    O                    
.                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
"                    O                    O                    O                    O                    
The                  O                    O                    O                    O                    
government           O                    O                    O                    O                    
's                   O                    O                    O                    O                    
announced            O                    O                    O                    O                    
plans                O                    O                    O                    O                    
to                   O                    O                    O                    O                    
balance              O                    O                    O                    O                    
the                  O                    O                    O                    O                    
budget               O                    O                    O                    O                    
,                    O                    O                    O                    O                    
if                   O                    O                    O                    O                    
realised             O                    O                    O                    O                    
,                    O                    O                    O                    O                    
would                O                    O                    O                    O                    
make                 O                    O                    O                    O                    
a                    O                    O                    O                    O                    
useful               O                    O                    O                    O                    
contribution         O                    O                    O                    O                    
to                   O                    O                    O                    O                    
raising              O                    O                    O                    O                    
national             O                    O                    O                    O                    
savings              O                    O                    O                    O                    
,                    O                    O                    O                    O                    
"                    O                    O                    O                    O                    
the                  O                    O                    O                    O                    
RBA                  B-ORG                B-ORG                B-ORG                O                    
said                 O                    O                    O                    O                    
.                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
In                   O                    O                    O                    O                    
its                  O                    O                    O                    O                    
1996/97              O                    O                    O                    O                    
budget               O                    O                    O                    O                    
announced            O                    O                    O                    O                    
on                   O                    O                    O                    O                    
Tuesday              O                    O                    O                    O                    
,                    O                    O                    O                    O                    
the                  O                    O                    O                    O                    
Australian           B-MISC               B-MISC               B-MISC               O                    
Coalition            B-ORG                B-ORG                O                    O                    
government           O                    O                    O                    B-ORG                
announced            O                    O                    O                    I-ORG                
an                   O                    O                    O                    I-ORG                
underlying           O                    O                    O                    O                    
budget               O                    O                    O                    O                    
deficit              O                    O                    O                    O                    
of                   O                    O                    O                    O                    
A$                   B-MISC               B-MISC               B-MISC               O                    
5.65                 O                    O                    O                    O                    
billion              O                    O                    O                    O                    
,                    O                    O                    O                    O                    
and                  O                    O                    O                    O                    
pledged              O                    O                    O                    O                    
to                   O                    O                    O                    O                    
return               O                    O                    O                    O                    
the                  O                    O                    O                    O                    
underlying           O                    O                    O                    O                    
budget               O                    O                    O                    O                    
balance              O                    O                    O                    O                    
to                   O                    O                    O                    O                    
surplus              O                    O                    O                    O                    
by                   O                    O                    O                    O                    
1998/99              O                    O                    O                    O                    
.                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
CRICKET              O                    O                    B-PER                O                    
-                    O                    O                    O                    O                    
PAKISTAN             B-ORG                B-LOC                B-LOC                B-LOC                
339-4                O                    O                    O                    O                    
V                    O                    O                    O                    O                    
ENGLAND              B-ORG                B-LOC                B-LOC                B-LOC                
-                    O                    O                    O                    O                    
close                O                    O                    O                    O                    
.                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
England              B-ORG                B-LOC                B-PER                B-LOC                
326                  O                    O                    O                    O                    
all                  O                    O                    O                    O                    
out                  O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
French               B-MISC               B-MISC               B-MISC               B-LOC                
1997                 O                    O                    O                    O                    
budget               O                    O                    O                    O                    
due                  O                    O                    O                    O                    
around               O                    O                    O                    O                    
September            O                    O                    O                    O                    
10                   O                    O                    O                    O                    
-                    O                    O                    O                    O                    
Juppe                B-PER                B-PER                B-PER                B-PER                
.                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
--                   O                    O                    O                    O                    
Paris                B-LOC                B-LOC                O                    B-LOC                
newsroom             O                    O                    O                    O                    
+331                 O                    O                    O                    O                    
4221                 O                    O                    O                    O                    
5452                 O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
India                B-LOC                B-LOC                B-LOC                B-LOC                
RBI                  B-ORG                B-ORG                O                    B-ORG                
chief                O                    O                    O                    O                    
sees                 O                    O                    O                    O                    
cut                  O                    O                    O                    O                    
in                   O                    O                    O                    O                    
cash                 O                    O                    O                    O                    
reserve              O                    O                    O                    O                    
ratio                O                    O                    O                    O                    
.                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
The                  O                    O                    O                    O                    
Reserve              B-ORG                B-ORG                B-LOC                B-LOC                
bank                 I-ORG                I-ORG                I-LOC                I-LOC                
of                   I-ORG                I-ORG                I-LOC                I-LOC                
India                I-ORG                I-ORG                I-LOC                I-LOC                
governor             O                    O                    O                    O                    
C.                   B-PER                B-PER                B-PER                B-PER                
Rangarajan           I-PER                I-PER                I-PER                I-PER                
said                 O                    O                    O                    O                    
on                   O                    O                    O                    O                    
Thursday             O                    O                    O                    O                    
that                 O                    O                    O                    O                    
he                   O                    O                    O                    O                    
expected             O                    O                    O                    O                    
the                  O                    O                    O                    O                    
cash                 O                    O                    O                    O                    
reserve              O                    O                    O                    O                    
ratio                O                    O                    O                    O                    
(                    O                    O                    O                    O                    
CRR                  O                    O                    O                    O                    
)                    O                    O                    O                    O                    
maintained           O                    O                    O                    O                    
by                   O                    O                    O                    O                    
banks                O                    O                    O                    O                    
to                   O                    O                    O                    O                    
be                   O                    O                    O                    O                    
reduced              O                    O                    O                    O                    
over                 O                    O                    O                    O                    
the                  O                    O                    O                    O                    
medium               O                    O                    O                    O                    
term                 O                    O                    O                    O                    
.                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
"                    O                    O                    O                    O                    
Over                 O                    O                    O                    O                    
the                  O                    O                    O                    O                    
medium               O                    O                    O                    O                    
term                 O                    O                    O                    O                    
,                    O                    O                    O                    O                    
yes                  O                    O                    O                    O                    
,                    O                    O                    O                    O                    
"                    O                    O                    O                    O                    
he                   O                    O                    O                    O                    
told                 O                    O                    O                    O                    
Reuters              B-ORG                B-ORG                O                    B-ORG                
after                O                    O                    O                    O                    
addressing           O                    O                    O                    O                    
industrialists       O                    O                    O                    O                    
in                   O                    O                    O                    O                    
the                  O                    O                    O                    O                    
capital              O                    O                    O                    O                    
.                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
Gloria               B-ORG                B-ORG                B-ORG                B-ORG                
Bistrita             I-ORG                I-ORG                I-ORG                I-ORG                
(                    O                    O                    O                    O                    
Romania              B-LOC                B-LOC                B-LOC                B-LOC                
)                    O                    O                    O                    O                    
beat                 O                    O                    O                    O                    
2-1                  O                    O                    O                    O                    
(                    O                    O                    O                    O                    
halftime             O                    O                    O                    O                    
1-1                  O                    O                    O                    O                    
)                    O                    O                    O                    O                    
F.C.                 B-ORG                B-ORG                B-ORG                B-ORG                
Valletta             I-ORG                I-ORG                I-ORG                I-ORG                
(                    O                    O                    O                    B-ORG                
Malta                B-LOC                B-LOC                B-LOC                O                    
)                    O                    O                    O                    B-LOC                
in                   O                    O                    O                    O                    
their                O                    O                    O                    O                    
Cup                  B-MISC               B-MISC               B-MISC               B-MISC               
winners              I-MISC               I-MISC               I-MISC               I-MISC               
Cup                  I-MISC               I-MISC               I-MISC               I-MISC               
match                O                    O                    O                    O                    
,                    O                    O                    O                    O                    
second               O                    O                    O                    O                    
leg                  O                    O                    O                    O                    
of                   O                    O                    O                    O                    
the                  O                    O                    O                    O                    
preliminary          O                    O                    O                    O                    
round                O                    O                    O                    O                    
,                    O                    O                    O                    O                    
on                   O                    O                    O                    O                    
Thursday             O                    O                    O                    O                    
.                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
F.C.                 B-ORG                B-ORG                B-ORG                B-ORG                
La                   I-ORG                I-ORG                I-ORG                I-ORG                
Valletta             I-ORG                I-ORG                I-ORG                I-ORG                
-                    O                    O                    O                    O                    
Gilbert              B-PER                B-PER                B-PER                O                    
Agius                I-PER                I-PER                I-PER                O                    
(                    O                    O                    O                    O                    
24th                 O                    O                    O                    O                    
)                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
REUTER               B-ORG                B-PER                B-PER                B-LOC                

 
Token                Clean                Original             CLS                  SUM                  
 
CALGARY              B-LOC                B-LOC                O                    B-MISC               
1996-08-23           O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
Soccer               O                    O                    O                    O                    
-                    O                    O                    O                    O                    
Kennedy              B-PER                B-PER                B-PER                B-PER                
and                  O                    O                    O                    O                    
Phelan               B-PER                B-PER                B-LOC                B-PER                
both                 O                    O                    O                    O                    
out                  O                    O                    O                    O                    
of                   O                    O                    O                    O                    
Irish                B-MISC               B-MISC               B-MISC               B-ORG                
squad                O                    O                    O                    O                    
.                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
Two                  O                    O                    O                    O                    
players              O                    O                    O                    O                    
have                 O                    O                    O                    O                    
withdrawn            O                    O                    O                    O                    
from                 O                    O                    O                    O                    
the                  O                    O                    O                    O                    
Republic             B-ORG                B-LOC                B-ORG                B-ORG                
of                   I-ORG                I-LOC                I-ORG                I-ORG                
Ireland              I-ORG                I-LOC                I-ORG                I-ORG                
squad                O                    O                    O                    O                    
for                  O                    O                    O                    O                    
the                  O                    O                    O                    O                    
1998                 O                    O                    O                    O                    
World                B-MISC               B-MISC               B-ORG                B-MISC               
Cup                  I-MISC               I-MISC               I-ORG                I-MISC               
qualifying           O                    O                    O                    O                    
match                O                    O                    O                    O                    
against              O                    O                    O                    O                    
Liechenstein         B-ORG                B-LOC                B-LOC                B-LOC                
on                   O                    O                    O                    O                    
August               O                    O                    O                    O                    
31                   O                    O                    O                    O                    
,                    O                    O                    O                    O                    
the                  O                    O                    O                    O                    
Football             B-ORG                B-ORG                B-ORG                B-ORG                
Association          I-ORG                I-ORG                I-ORG                I-ORG                
of                   I-ORG                I-ORG                I-ORG                I-ORG                
