PARAMETERS: 
 
labelset: weak 
split: train 
lambda: 0 
k: 3 
fine-tune: True 
ft_max_epochs: 2 
 
 
CLS: 
 
Run 1: 
 
File: ./results/weak_cls_5.json 
 
F1: 0.5710761278195489 
 
              precision    recall  f1-score   support

         LOC       0.55      0.84      0.67      2239
message              O                    O                    O                    O                    
that                 O                    O                    O                    O                    
we                   O                    O                    O                    O                    
sent                 O                    O                    O                    O                    
to                   O                    O                    O                    O                    
(                    O                    O                    O                    O                    
Syrian               B-MISC               B-MISC               B-MISC               B-MISC               
President            O                    O                    O                    O                    
Hafez                B-PER                B-PER                B-PER                B-PER                
al-                  I-PER                I-PER                I-PER                I-PER                
)                    O                    O                    O                    O                    
Assad                B-PER                B-PER                B-PER                B-PER                
is                   O                    O                    O                    O                    
that                 O                    O                    O                    O                    
Israel               B-LOC                B-LOC                B-LOC                B-LOC                
is                   O                    O                    O                    O                    
ready                O                    O                    O                    O                    
at                   O                    O                    O                    O                    
any                  O                    O                    O                    O                    
time                 O                    O                    O                    O                    
without              O                    O                    O                    O                    
preconditions        O                    O                    O                    O                    
to                   O                    O                    O                    O                    
enter                O                    O                    O                    O                    
peace                O                    O                    O                    O                    
negotiations         O                    O                    O                    O                    
,                    O                    O                    O                    O                    
"                    O                    O                    O                    O                    
Israeli              B-MISC               B-MISC               B-MISC               B-LOC                
Foreign              O                    O                    O                    O                    
Minister             O                    B-PER                B-ORG                B-LOC                
David                B-PER                B-PER                B-PER                B-PER                
Levy                 I-PER                I-PER                I-PER                I-PER                
told                 O                    O                    O                    O                    
Israel               B-ORG                B-LOC                B-LOC                B-LOC                
Radio                I-ORG                B-ORG                B-ORG                B-ORG                
in                   O                    O                    O                    O                    
an                   O                    O                    O                    O                    
interview            O                    O                    O                    O                    
.                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
We                   O                    O                    O                    O                    
do                   O                    O                    O                    O                    
not                  O                    O                    O                    O                    
want                 O                    O                    O                    O                    
a                    O                    O                    O                    O                    
war                  O                    O                    O                    O                    
,                    O                    O                    O                    O                    
God                  B-MISC               B-ORG                B-ORG                B-LOC                
forbid               O                    I-ORG                I-ORG                I-LOC                
.                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
Israel               B-LOC                B-LOC                B-LOC                B-LOC                
's                   O                    B-PER                B-LOC                B-PER                
Channel              B-ORG                B-ORG                B-ORG                B-ORG                
Two                  I-ORG                I-ORG                I-ORG                I-ORG                
television           O                    O                    O                    O                    
said                 O                    O                    O                    O                    
Damascus             B-LOC                B-LOC                B-LOC                B-LOC                
had                  O                    O                    O                    O                    
sent                 O                    O                    O                    O                    
a                    O                    O                    O                    O                    
"                    O                    O                    O                    O                    
calming              O                    O                    O                    O                    
signal               O                    O                    O                    O                    
"                    O                    O                    O                    O                    
to                   O                    O                    O                    O                    
Israel               B-LOC                B-LOC                B-LOC                B-LOC                
.                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
CHICAGO              B-LOC                B-LOC                B-ORG                B-ORG                
1996-08-22           O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
-                    O                    O                    O                    O                    
Turkish              B-MISC               B-MISC               B-MISC               B-LOC                
foreign              O                    O                    O                    O                    
minister             O                    O                    O                    O                    
says                 O                    B-ORG                B-ORG                B-ORG                
Turkey               B-LOC                B-LOC                B-LOC                B-LOC                
will                 O                    O                    O                    O                    
take                 O                    O                    O                    O                    
part                 O                    O                    O                    O                    
in                   O                    O                    O                    O                    
the                  O                    O                    O                    O                    
Baghdad              B-LOC                B-LOC                B-LOC                B-LOC                
trade                O                    O                    O                    O                    
fair                 O                    O                    O                    O                    
that                 O                    O                    O                    O                    
will                 O                    O                    O                    O                    
be                   O                    O                    O                    O                    
held                 O                    O                    O                    O                    
in                   O                    O                    O                    O                    
November             O                    O                    O                    O                    
.                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
-                    O                    O                    O                    O                    
A                    O                    O                    O                    O                    
shipload             O                    O                    O                    O                    
of                   O                    O                    O                    O                    
12                   O                    O                    O                    O                    
tonnes               O                    O                    O                    O                    
of                   O                    O                    O                    O                    
rice                 O                    O                    O                    O                    
arrives              O                    O                    O                    O                    
in                   O                    O                    O                    O                    
Umm                  B-LOC                B-LOC                B-LOC                B-LOC                
Qasr                 I-LOC                I-LOC                I-LOC                I-LOC                
port                 O                    I-LOC                I-LOC                I-LOC                
in                   O                    O                    O                    O                    
the                  O                    O                    O                    O                    
Gulf                 B-LOC                B-LOC                B-ORG                B-LOC                
.                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
BRUSSELS             B-LOC                B-LOC                B-ORG                B-LOC                
1996-08-22           O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
Spectators           O                    O                    O                    O                    
at                   O                    O                    O                    O                    
Friday               O                    O                    O                    O                    
's                   O                    O                    O                    O                    
Brussels             B-LOC                B-LOC                B-LOC                B-ORG                
grand                O                    O                    O                    O                    
prix                 O                    O                    O                    O                    
meeting              O                    O                    O                    O                    
have                 O                    O                    O                    O                    
an                   O                    O                    O                    O                    
extra                O                    O                    O                    O                    
incentive            O                    O                    O                    O                    
to                   O                    O                    O                    O                    
cheer                O                    O                    O                    O                    
on                   O                    O                    O                    O                    
the                  O                    O                    O                    O                    
athletes             O                    O                    O                    O                    
to                   O                    O                    O                    O                    
world                O                    O                    O                    O                    
record               O                    O                    O                    O                    
performances         O                    O                    O                    O                    
--                   O                    O                    O                    O                    
a                    O                    O                    O                    O                    
free                 O                    O                    O                    O                    
glass                O                    O                    O                    O                    
of                   O                    O                    O                    O                    
beer                 O                    O                    O                    O                    
.                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
LOS                  B-LOC                B-LOC                B-LOC                B-ORG                
ANGELES              I-LOC                I-LOC                I-LOC                I-ORG                
1996-08-22           O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
It                   O                    O                    O                    O                    
's                   O                    O                    O                    O                    
the                  O                    O                    O                    O                    
biggest              O                    O                    O                    O                    
success              O                    O                    O                    O                    
for                  O                    O                    O                    O                    
Viacom               B-ORG                B-ORG                B-ORG                B-ORG                
Inc-owned            I-ORG                O                    O                    O                    
Paramount            B-ORG                B-ORG                B-ORG                B-ORG                
since                O                    O                    O                    O                    
1994                 O                    O                    O                    O                    
's                   O                    O                    O                    O                    
"                    O                    O                    O                    O                    
Forrest              B-MISC               B-PER                B-PER                B-ORG                
Gump                 I-MISC               I-PER                I-PER                I-ORG                
"                    O                    O                    O                    O                    
.                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
Cruise               B-PER                B-PER                B-ORG                B-PER                
will                 O                    O                    O                    O                    
reprise              O                    O                    O                    O                    
his                  O                    O                    O                    O                    
roles                O                    O                    O                    O                    
as                   O                    O                    O                    O                    
star                 O                    O                    O                    O                    
and                  O                    O                    O                    O                    
co-producer          O                    O                    O                    O                    
,                    O                    O                    O                    O                    
and                  O                    O                    O                    O                    
will                 O                    O                    O                    O                    
soon                 O                    O                    O                    O                    
meet                 O                    O                    O                    O                    
Academy              B-MISC               B-ORG                B-ORG                B-ORG                
Award-winning        I-MISC               O                    O                    O                    
screenwriter         O                    O                    O                    O                    
William              B-PER                B-PER                B-PER                B-PER                
Goldman              I-PER                I-PER                I-PER                I-PER                
,                    O                    O                    O                    O                    
who                  O                    O                    O                    O                    
will                 O                    O                    O                    O                    
write                O                    O                    O                    O                    
the                  O                    O                    O                    O                    
script               O                    O                    O                    O                    
,                    O                    O                    O                    O                    
the                  O                    O                    O                    O                    
report               O                    O                    O                    O                    
said                 O                    O                    O                    O                    
.                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
Goldman              B-PER                B-ORG                B-ORG                B-ORG                
,                    O                    O                    O                    O                    
whose                O                    O                    O                    O                    
Oscars               B-MISC               B-ORG                B-ORG                B-ORG                
were                 O                    O                    O                    O                    
for                  O                    O                    O                    O                    
"                    O                    O                    O                    O                    
Butch                B-MISC               B-PER                B-PER                B-PER                
Cassidy              I-MISC               I-PER                I-PER                I-PER                
and                  I-MISC               O                    O                    O                    
the                  I-MISC               O                    O                    O                    
Sundance             I-MISC               B-PER                B-PER                B-PER                
Kid                  I-MISC               I-PER                I-PER                I-PER                
"                    O                    O                    O                    O                    
and                  O                    O                    O                    O                    
"                    O                    O                    O                    O                    
All                  B-MISC               O                    O                    O                    
the                  I-MISC               B-LOC                B-MISC               B-LOC                
President            I-MISC               I-LOC                I-MISC               I-LOC                
's                   I-MISC               O                    O                    O                    
Men                  I-MISC               O                    O                    O                    
"                    O                    O                    O                    O                    
,                    O                    O                    O                    O                    
earlier              O                    O                    O                    O                    
this                 O                    O                    O                    O                    
summer               O                    O                    O                    O                    
criticised           O                    O                    O                    O                    
some                 O                    O                    O                    O                    
of                   O                    O                    O                    O                    
the                  O                    O                    O                    O                    
season               O                    O                    O                    O                    
's                   O                    O                    O                    O                    
blockbusters         O                    O                    O                    O                    
.                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
COLOMBO              B-LOC                B-LOC                B-ORG                B-LOC                
1996-08-22           O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
Australia            B-ORG                B-LOC                B-LOC                B-LOC                
,                    O                    O                    O                    O                    
in                   O                    O                    O                    O                    
Sri                  B-LOC                B-LOC                B-LOC                B-LOC                
Lanka                I-LOC                I-LOC                I-LOC                I-LOC                
for                  O                    O                    O                    O                    
a                    O                    O                    O                    O                    
limited              O                    O                    O                    O                    
overs                O                    O                    O                    O                    
tournament           O                    O                    O                    O                    
which                O                    O                    O                    O                    
also                 O                    O                    O                    O                    
includes             O                    O                    O                    O                    
India                B-ORG                B-LOC                B-LOC                B-LOC                
and                  O                    B-PER                B-PER                B-ORG                
Zimbabwe             B-ORG                B-LOC                B-LOC                B-LOC                
,                    O                    O                    O                    O                    
have                 O                    O                    O                    O                    
been                 O                    O                    O                    O                    
promised             O                    O                    O                    O                    
the                  O                    O                    O                    O                    
presence             O                    O                    O                    O                    
of                   O                    O                    O                    O                    
commandos            O                    O                    O                    O                    
,                    O                    O                    O                    O                    
sniffer              O                    O                    O                    O                    
dogs                 O                    O                    O                    O                    
and                  O                    O                    O                    O                    
plainclothes         O                    O                    O                    O                    
policemen            O                    O                    O                    O                    
to                   O                    O                    O                    O                    
ensure               O                    O                    O                    O                    
the                  O                    O                    O                    O                    
tournament           O                    O                    O                    O                    
is                   O                    O                    O                    O                    
trouble-free         O                    O                    O                    O                    
.                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
They                 O                    O                    O                    O                    
are                  O                    O                    O                    O                    
making               O                    O                    O                    O                    
their                O                    O                    O                    O                    
first                O                    O                    O                    O                    
visit                O                    O                    O                    O                    
to                   O                    O                    O                    O                    
the                  O                    O                    O                    O                    
island               O                    O                    O                    O                    
since                O                    O                    O                    O                    
boycotting           O                    O                    O                    O                    
a                    O                    O                    O                    O                    
World                B-MISC               B-MISC               B-LOC                B-MISC               
Cup                  I-MISC               I-MISC               I-LOC                I-MISC               
fixture              O                    O                    O                    O                    
in                   O                    O                    O                    O                    
February             O                    O                    O                    O                    
because              O                    O                    O                    O                    
of                   O                    O                    O                    O                    
fears                O                    O                    O                    O                    
over                 O                    O                    O                    O                    
ethnic               O                    O                    O                    O                    
violence             O                    O                    O                    O                    
.                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
Australian           B-MISC               B-MISC               B-LOC                B-LOC                
coach                O                    O                    O                    O                    
Geoff                B-PER                B-PER                B-PER                B-PER                
Marsh                I-PER                I-PER                I-PER                I-PER                
said                 O                    O                    O                    O                    
he                   O                    O                    O                    O                    
was                  O                    O                    O                    O                    
impressed            O                    O                    O                    O                    
with                 O                    O                    O                    O                    
the                  O                    O                    O                    O                    
competitiveness      O                    O                    O                    O                    
of                   O                    O                    O                    O                    
the                  O                    O                    O                    O                    
opposition           O                    O                    O                    O                    
.                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
Clinton              B-PER                B-PER                B-PER                B-LOC                
's                   O                    I-PER                I-PER                I-LOC                
Ballybunion          B-LOC                B-LOC                B-LOC                B-LOC                
fans                 O                    O                    O                    O                    
invited              O                    O                    O                    O                    
to                   O                    O                    O                    O                    
Chicago              B-LOC                B-LOC                B-LOC                B-LOC                
.                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
U.S.                 B-LOC                B-LOC                B-LOC                B-MISC               
President            O                    O                    O                    O                    
Bill                 B-PER                B-PER                B-LOC                B-PER                
Clinton              I-PER                I-PER                I-LOC                I-PER                
had                  O                    O                    O                    O                    
to                   O                    O                    O                    O                    
drop                 O                    O                    O                    O                    
the                  O                    O                    O                    O                    
resort               O                    O                    O                    O                    
of                   O                    O                    O                    O                    
Ballybunion          B-LOC                B-LOC                B-LOC                B-LOC                
from                 O                    O                    O                    O                    
a                    O                    O                    O                    O                    
whirlwind            O                    O                    O                    O                    
Irish                B-MISC               B-MISC               B-MISC               B-MISC               
tour                 O                    O                    O                    O                    
last                 O                    O                    O                    O                    
year                 O                    O                    O                    O                    
.                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
Two                  O                    O                    O                    O                    
residents            O                    O                    O                    O                    
of                   O                    O                    O                    O                    
the                  O                    O                    O                    O                    
Atlantic             B-LOC                B-LOC                B-LOC                B-MISC               
resort               O                    O                    O                    O                    
,                    O                    O                    O                    O                    
where                O                    O                    O                    O                    
Clinton              B-PER                B-LOC                B-LOC                B-LOC                
was                  O                    O                    O                    O                    
to                   O                    O                    O                    O                    
have                 O                    O                    O                    O                    
played               O                    O                    O                    O                    
golf                 O                    O                    O                    O                    
with                 O                    O                    O                    O                    
the                  O                    O                    O                    O                    
Irish                B-MISC               B-MISC               B-MISC               B-MISC               
Foreign              O                    O                    O                    O                    
Minister             O                    O                    O                    O                    
Dick                 B-PER                B-PER                B-PER                B-PER                
Spring               I-PER                I-PER                I-PER                I-PER                
,                    O                    O                    O                    O                    
have                 O                    O                    O                    O                    
been                 O                    O                    O                    O                    
invited              O                    O                    O                    O                    
to                   O                    O                    O                    O                    
the                  O                    O                    O                    O                    
Democratic           B-MISC               B-MISC               B-ORG                B-MISC               
party                O                    B-ORG                B-ORG                B-ORG                
convention           O                    O                    O                    O                    
in                   O                    O                    O                    O                    
Chicago              B-LOC                B-LOC                B-LOC                B-LOC                
on                   O                    O                    O                    O                    
August               O                    O                    O                    O                    
26-29                O                    O                    O                    O                    
.                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
They                 O                    O                    O                    O                    
have                 O                    O                    O                    O                    
been                 O                    O                    O                    O                    
asked                O                    O                    O                    O                    
to                   O                    O                    O                    O                    
bring                O                    O                    O                    O                    
with                 O                    O                    O                    O                    
them                 O                    O                    O                    O                    
the                  O                    O                    O                    O                    
placards             O                    O                    O                    O                    
they                 O                    O                    O                    O                    
waved                O                    O                    O                    O                    
when                 O                    O                    O                    O                    
Clinton              B-PER                B-LOC                B-LOC                B-LOC                
addressed            O                    O                    O                    O                    
Ireland              B-LOC                B-LOC                B-MISC               B-LOC                
at                   O                    O                    O                    O                    
a                    O                    O                    O                    O                    
packed               O                    O                    O                    O                    
ceremony             O                    O                    O                    O                    
in                   O                    O                    O                    O                    
Dublin               B-LOC                B-LOC                B-LOC                B-LOC                
city                 O                    I-LOC                I-LOC                I-LOC                
centre               O                    O                    O                    O                    
on                   O                    O                    O                    O                    
December             O                    O                    O                    O                    
1                    O                    O                    O                    O                    
,                    O                    O                    O                    O                    
last                 O                    O                    O                    O                    
year                 O                    O                    O                    O                    
.                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
"                    O                    O                    O                    O                    
The                  O                    B-ORG                B-ORG                B-LOC                
Democratic           B-MISC               B-ORG                B-ORG                B-ORG                
party                O                    I-ORG                I-ORG                I-ORG                
have                 O                    O                    O                    O                    
requested            O                    O                    O                    O                    
we                   O                    O                    O                    O                    
bring                O                    O                    O                    O                    
our                  O                    O                    O                    O                    
placards             O                    O                    O                    O                    
with                 O                    O                    O                    O                    
