PARAMETERS: 
 
labelset: original 
split: train 
lambda: 0 
k: 3 
 
 
CLS: 
 
Run 1: 
 
File: ./results/original_cls_4.json 
 
F1: 0.8215968261839821 
 
              precision    recall  f1-score   support

         LOC       0.78      0.80      0.79      2239
and                  O                    O                    O                    O                    
a                    O                    O                    O                    O                    
maximum              O                    O                    O                    O                    
fine                 O                    O                    O                    O                    
of                   O                    O                    O                    O                    
5,000                O                    O                    O                    O                    
ringgit              O                    O                    O                    O                    
(                    O                    O                    O                    O                    
$                    O                    O                    O                    O                    
2000                 O                    O                    O                    O                    
)                    O                    O                    O                    O                    
.                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
RTRS                 B-ORG                B-ORG                B-ORG                B-ORG                
-                    O                    O                    O                    O                    
Budget               O                    O                    O                    O                    
cuts                 O                    O                    O                    O                    
to                   O                    O                    O                    O                    
boost                O                    O                    O                    O                    
Australia            B-LOC                B-LOC                B-LOC                B-MISC               
savings              O                    O                    O                    O                    
-                    O                    O                    O                    O                    
RBA                  B-ORG                B-ORG                B-ORG                B-ORG                
.                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
CANBERRA             B-LOC                B-LOC                B-ORG                B-ORG                
1996-08-22           O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
In                   O                    O                    O                    O                    
its                  O                    O                    O                    O                    
1996/97              O                    O                    O                    O                    
budget               O                    O                    O                    O                    
announced            O                    O                    O                    O                    
on                   O                    O                    O                    O                    
Tuesday              O                    O                    O                    O                    
,                    O                    O                    O                    O                    
the                  O                    O                    O                    O                    
Australian           B-MISC               B-MISC               B-MISC               B-ORG                
Coalition            B-ORG                B-ORG                B-MISC               B-ORG                
government           O                    O                    O                    O                    
announced            O                    O                    O                    O                    
an                   O                    O                    O                    O                    
underlying           O                    O                    O                    O                    
budget               O                    O                    O                    O                    
deficit              O                    O                    O                    O                    
of                   O                    O                    O                    O                    
A$                   B-MISC               B-MISC               B-MISC               B-ORG                
5.65                 O                    O                    O                    O                    
billion              O                    O                    O                    O                    
,                    O                    O                    O                    O                    
and                  O                    O                    O                    O                    
pledged              O                    O                    O                    O                    
to                   O                    O                    O                    O                    
return               O                    O                    O                    O                    
the                  O                    O                    O                    O                    
underlying           O                    O                    O                    O                    
budget               O                    O                    O                    O                    
balance              O                    O                    O                    O                    
to                   O                    O                    O                    O                    
surplus              O                    O                    O                    O                    
by                   O                    O                    O                    O                    
1998/99              O                    O                    O                    O                    
.                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
--                   O                    O                    O                    O                    
Sydney               B-ORG                B-ORG                B-ORG                B-MISC               
Newsroom             I-ORG                I-ORG                I-ORG                I-MISC               
61-2                 O                    O                    O                    O                    
9373-1800            O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
England              B-ORG                B-LOC                B-PER                B-PER                
326                  O                    O                    O                    O                    
all                  O                    O                    O                    O                    
out                  O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
French               B-MISC               B-MISC               B-LOC                B-MISC               
1997                 O                    O                    O                    O                    
budget               O                    O                    O                    O                    
due                  O                    O                    O                    O                    
around               O                    O                    O                    O                    
September            O                    O                    O                    O                    
10                   O                    O                    O                    O                    
-                    O                    O                    O                    O                    
Juppe                B-PER                B-PER                B-PER                B-PER                
.                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
"                    O                    O                    O                    O                    
The                  O                    O                    O                    O                    
texts                O                    O                    O                    O                    
are                  O                    O                    O                    O                    
practically          O                    O                    O                    O                    
ready                O                    O                    O                    O                    
,                    O                    O                    O                    O                    
"                    O                    O                    O                    O                    
he                   O                    O                    O                    O                    
told                 O                    O                    O                    O                    
reporters            O                    O                    O                    O                    
after                O                    O                    O                    O                    
a                    O                    O                    O                    O                    
weekend              O                    O                    O                    O                    
of                   O                    O                    O                    O                    
talks                O                    O                    O                    O                    
with                 O                    O                    O                    O                    
President            O                    O                    O                    O                    
Jacques              B-PER                B-PER                B-PER                B-PER                
Chirac               I-PER                I-PER                I-PER                I-PER                
in                   O                    O                    O                    O                    
a                    O                    O                    O                    O                    
Riviera              B-LOC                B-LOC                B-LOC                B-PER                
fortress             O                    O                    O                    O                    
.                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
The                  O                    O                    O                    O                    
Reserve              B-ORG                B-ORG                B-LOC                B-ORG                
bank                 I-ORG                I-ORG                I-LOC                I-ORG                
of                   I-ORG                I-ORG                I-LOC                I-ORG                
India                I-ORG                I-ORG                I-LOC                I-ORG                
governor             O                    O                    O                    O                    
C.                   B-PER                B-PER                B-PER                B-PER                
Rangarajan           I-PER                I-PER                I-PER                I-PER                
said                 O                    O                    O                    O                    
on                   O                    O                    O                    O                    
Thursday             O                    O                    O                    O                    
that                 O                    O                    O                    O                    
he                   O                    O                    O                    O                    
expected             O                    O                    O                    O                    
the                  O                    O                    O                    O                    
cash                 O                    O                    O                    O                    
reserve              O                    O                    O                    O                    
ratio                O                    O                    O                    O                    
(                    O                    O                    O                    O                    
CRR                  O                    O                    O                    O                    
)                    O                    O                    O                    O                    
maintained           O                    O                    O                    O                    
by                   O                    O                    O                    O                    
banks                O                    O                    O                    O                    
to                   O                    O                    O                    O                    
be                   O                    O                    O                    O                    
reduced              O                    O                    O                    O                    
over                 O                    O                    O                    O                    
the                  O                    O                    O                    O                    
medium               O                    O                    O                    O                    
term                 O                    O                    O                    O                    
.                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
--                   O                    O                    O                    O                    
New                  B-LOC                B-LOC                B-LOC                B-ORG                
Delhi                I-LOC                I-LOC                I-LOC                I-ORG                
newsroom             O                    O                    O                    O                    
,                    O                    O                    O                    O                    
+91-11-3012024       O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
BISTRITA             B-LOC                B-LOC                B-ORG                B-ORG                
1996-08-22           O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
Gloria               B-ORG                B-ORG                B-ORG                B-ORG                
Bistrita             I-ORG                I-ORG                I-ORG                I-ORG                
(                    O                    O                    O                    O                    
Romania              B-LOC                B-LOC                B-LOC                B-PER                
)                    O                    O                    O                    O                    
beat                 O                    O                    O                    O                    
2-1                  O                    O                    O                    O                    
(                    O                    O                    O                    O                    
halftime             O                    O                    O                    O                    
1-1                  O                    O                    O                    O                    
)                    O                    O                    O                    O                    
F.C.                 B-ORG                B-ORG                B-ORG                B-ORG                
Valletta             I-ORG                I-ORG                I-ORG                I-ORG                
(                    O                    O                    O                    O                    
Malta                B-LOC                B-LOC                B-MISC               B-ORG                
)                    O                    O                    O                    O                    
in                   O                    O                    O                    O                    
their                O                    O                    O                    O                    
Cup                  B-MISC               B-MISC               B-MISC               B-MISC               
winners              I-MISC               I-MISC               I-MISC               I-MISC               
Cup                  I-MISC               I-MISC               I-MISC               I-MISC               
match                O                    O                    O                    O                    
,                    O                    O                    O                    O                    
second               O                    O                    O                    O                    
leg                  O                    O                    O                    O                    
of                   O                    O                    O                    O                    
the                  O                    O                    O                    O                    
preliminary          O                    O                    O                    O                    
round                O                    O                    O                    O                    
,                    O                    O                    O                    O                    
on                   O                    O                    O                    O                    
Thursday             O                    O                    O                    O                    
.                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
F.C.                 B-ORG                B-ORG                B-ORG                B-ORG                
La                   I-ORG                I-ORG                I-ORG                I-ORG                
Valletta             I-ORG                I-ORG                I-ORG                I-ORG                
-                    O                    O                    O                    O                    
Gilbert              B-PER                B-PER                B-ORG                B-ORG                
Agius                I-PER                I-PER                I-ORG                I-ORG                
(                    O                    O                    O                    O                    
24th                 O                    O                    O                    O                    
)                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
REUTER               B-ORG                B-PER                B-ORG                B-ORG                

 
Token                Clean                Original             CLS                  SUM                  
 
CALGARY              B-LOC                B-LOC                B-ORG                B-LOC                
1996-08-23           O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
--                   O                    O                    O                    O                    
Reuters              B-ORG                B-ORG                B-ORG                B-LOC                
Toronto              I-ORG                I-ORG                I-ORG                I-LOC                
Bureau               I-ORG                I-ORG                I-ORG                I-LOC                
416                  O                    O                    O                    O                    
941-8100             O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
Soccer               O                    O                    O                    O                    
-                    O                    O                    O                    O                    
Kennedy              B-PER                B-PER                B-PER                B-PER                
and                  O                    O                    O                    O                    
Phelan               B-PER                B-PER                B-PER                B-PER                
both                 O                    O                    O                    O                    
out                  O                    O                    O                    O                    
of                   O                    O                    O                    O                    
Irish                B-MISC               B-MISC               B-MISC               B-PER                
squad                O                    O                    O                    O                    
.                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
DUBLIN               B-LOC                B-LOC                B-PER                B-ORG                
1996-08-23           O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
Two                  O                    O                    O                    O                    
players              O                    O                    O                    O                    
have                 O                    O                    O                    O                    
withdrawn            O                    O                    O                    O                    
from                 O                    O                    O                    O                    
the                  O                    O                    O                    O                    
Republic             B-ORG                B-LOC                B-ORG                B-PER                
of                   I-ORG                I-LOC                I-ORG                I-PER                
Ireland              I-ORG                I-LOC                I-ORG                I-PER                
squad                O                    O                    O                    O                    
for                  O                    O                    O                    O                    
the                  O                    O                    O                    O                    
1998                 O                    O                    O                    O                    
World                B-MISC               B-MISC               B-MISC               B-MISC               
Cup                  I-MISC               I-MISC               I-MISC               I-MISC               
qualifying           O                    O                    O                    O                    
match                O                    O                    O                    O                    
against              O                    O                    O                    O                    
Liechenstein         B-ORG                B-LOC                B-LOC                B-LOC                
on                   O                    O                    O                    O                    
August               O                    O                    O                    O                    
31                   O                    O                    O                    O                    
,                    O                    O                    O                    O                    
the                  O                    O                    O                    O                    
Football             B-ORG                B-ORG                B-ORG                B-PER                
Association          I-ORG                I-ORG                I-ORG                I-PER                
of                   I-ORG                I-ORG                I-ORG                I-PER                
Ireland              I-ORG                I-ORG                I-ORG                I-PER                
said                 O                    O                    O                    O                    
in                   O                    O                    O                    O                    
a                    O                    O                    O                    O                    
statement            O                    O                    O                    O                    
on                   O                    O                    O                    O                    
Friday               O                    O                    O                    O                    
.                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
The                  O                    O                    O                    O                    
F.A.I.               B-ORG                B-ORG                B-PER                B-PER                
statement            O                    O                    O                    O                    
said                 O                    O                    O                    O                    
that                 O                    O                    O                    O                    
Liverpool            B-ORG                B-ORG                B-PER                B-ORG                
striker              O                    O                    O                    O                    
Mark                 B-PER                B-PER                B-PER                B-PER                
Kennedy              I-PER                I-PER                I-PER                I-PER                
and                  O                    O                    O                    O                    
Chelsea              B-ORG                B-ORG                B-MISC               B-ORG                
defender             O                    O                    O                    O                    
Terry                B-PER                B-PER                B-PER                B-PER                
Phelan               I-PER                I-PER                I-PER                I-PER                
were                 O                    O                    O                    O                    
both                 O                    O                    O                    O                    
receiving            O                    O                    O                    O                    
treatment            O                    O                    O                    O                    
for                  O                    O                    O                    O                    
injuries             O                    O                    O                    O                    
and                  O                    O                    O                    O                    
would                O                    O                    O                    O                    
not                  O                    O                    O                    O                    
be                   O                    O                    O                    O                    
travelling           O                    O                    O                    O                    
to                   O                    O                    O                    O                    
Liechenstein         B-LOC                B-LOC                B-LOC                B-LOC                
for                  O                    O                    O                    O                    
the                  O                    O                    O                    O                    
game                 O                    O                    O                    O                    
.                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
--                   O                    O                    O                    O                    
Damien               B-PER                B-PER                B-PER                B-PER                
Lynch                I-PER                I-PER                I-PER                I-PER                
,                    O                    O                    O                    O                    
Dublin               B-ORG                B-ORG                B-PER                B-PER                
Newsroom             I-ORG                I-ORG                I-PER                I-PER                
+353                 O                    O                    O                    O                    
1                    O                    O                    O                    O                    
6603377              O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
BNZ                  B-ORG                B-ORG                B-ORG                B-ORG                
cuts                 O                    O                    O                    O                    
NZ                   B-LOC                B-LOC                B-ORG                B-LOC                
fixed                O                    O                    O                    O                    
home                 O                    O                    O                    O                    
lending              O                    O                    O                    O                    
rates                O                    O                    O                    O                    
.                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
WELLINGTON           B-LOC                B-LOC                B-ORG                B-ORG                
1996-08-22           O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
Bank                 B-ORG                B-ORG                B-ORG                B-LOC                
of                   I-ORG                I-ORG                I-ORG                I-LOC                
New                  I-ORG                I-ORG                I-ORG                I-LOC                
Zealand              I-ORG                I-ORG                I-ORG                I-LOC                
said                 O                    O                    O                    O                    
on                   O                    O                    O                    O                    
Thursday             O                    O                    O                    O                    
it                   O                    O                    O                    O                    
was                  O                    O                    O                    O                    
cutting              O                    O                    O                    O                    
its                  O                    O                    O                    O                    
fixed                O                    O                    O                    O                    
home                 O                    O                    O                    O                    
lending              O                    O                    O                    O                    
rates                O                    O                    O                    O                    
.                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
--                   O                    O                    O                    O                    
Wellington           B-LOC                B-LOC                B-ORG                B-LOC                
newsroom             O                    O                    O                    O                    
64                   O                    O                    O                    O                    
4                    O                    O                    O                    O                    
4734                 O                    O                    O                    O                    
746                  O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
"                    O                    O                    O                    O                    
I                    O                    O                    O                    O                    
am                   O                    O                    O                    O                    
reluctant            O                    O                    O                    O                    
to                   O                    O                    O                    O                    
speculate            O                    O                    O                    O                    
but                  O                    O                    O                    O                    
we                   O                    O                    O                    O                    
are                  O                    O                    O                    O                    
doing                O                    O                    O                    O                    
the                  O                    O                    O                    O                    
preparations         O                    O                    O                    O                    
and                  O                    O                    O                    O                    
the                  O                    O                    O                    O                    
secretary-general    O                    O                    O                    O                    
is                   O                    O                    O                    O                    
anxious              O                    O                    O                    O                    
to                   O                    O                    O                    O                    
start                O                    O                    O                    O                    
the                  O                    O                    O                    O                    
program              O                    O                    O                    O                    
,                    O                    O                    O                    O                    
"                    O                    O                    O                    O                    
said                 O                    O                    O                    O                    
Undersecretary-General O                    O                    O                    O                    
Yasushi              B-PER                B-PER                B-PER                B-ORG                
Akashi               I-PER                I-PER                I-PER                I-ORG                
.                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
Akashi               B-PER                B-PER                B-PER                B-ORG                
is                   O                    O                    O                    O                    
head                 O                    O                    O                    O                    
of                   O                    O                    O                    O                    
the                  O                    O                    O                    O                    
Department           B-ORG                B-ORG                B-ORG                B-ORG                
of                   I-ORG                I-ORG                I-ORG                I-ORG                
Humanitarian         I-ORG                I-ORG                I-ORG                I-ORG                
affairs              I-ORG                I-ORG                I-ORG                I-ORG                
.                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
Finnish              B-MISC               B-MISC               B-LOC                B-LOC                
April                O                    O                    O                    O                    
trade                O                    O                    O                    O                    
surplus              O                    O                    O                    O                    
3.8                  O                    O                    O                    O                    
billion              O                    O                    O                    O                    
markka               O                    O                    O                    O                    
-                    O                    O                    O                    O                    
NCB                  B-ORG                B-ORG                B-ORG                B-ORG                
.                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
HELSINKI             B-LOC                B-LOC                B-ORG                B-ORG                
1996-08-22           O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
The                  O                    O                    O                    O                    
NCB                  B-ORG                B-ORG                B-ORG                B-ORG                
's                   O                    O                    O                    O                    
official             O                    O                    O                    O                    
monthly              O                    O                    O                    O                    
trade                O                    O                    O                    O                    
statistics           O                    O                    O                    O                    
are                  O                    O                    O                    O                    
lagging              O                    O                    O                    O                    
behind               O                    O                    O                    O                    
due                  O                    O                    O                    O                    
to                   O                    O                    O                    O                    
changes              O                    O                    O                    O                    
in                   O                    O                    O                    O                    
customs              O                    O                    O                    O                    
procedures           O                    O                    O                    O                    
when                 O                    O                    O                    O                    
Finland              B-LOC                B-LOC                B-LOC                B-ORG                
joined               O                    O                    O                    O                    
the                  O                    O                    O                    O                    
European             B-ORG                B-ORG                B-ORG                B-ORG                
Union                I-ORG                I-ORG                I-ORG                I-ORG                
at                   O                    O                    O                    O                    
the                  O                    O                    O                    O                    
start                O                    O                    O                    O                    
of                   O                    O                    O                    O                    
1995                 O                    O                    O                    O                    
.                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
